parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error
0.083039003,0.029692201,-1.89610425,0.049563579,-1.797682598,0.04721039,-88.10499446,1.048531872
0.083042086,0.053084839,-3.525880305,0.070474838,-4.291475855,0.085698415,-87.80320229,7.820018633
0.08304769,0.01632849,-2.066610321,0.028054821,-3.377891691,0.030579305,-32.86998773,1.581850312
0.083049596,0.024312252,-1.822536061,0.042820305,-1.676571719,0.044139816,-90.49716381,0.623896565
0.083053358,0.027287303,-3.572213519,0.043694394,-5.289205626,0.049468361,3.749023317,2.009039016
0.083054092,0.032839619,-2.56305738,0.05093499,-5.74359858,0.05852771,-26.27750813,1.079586518
0.083057439,0.028839277,-1.93837211,0.049027673,-4.217073979,0.049412845,-76.26099188,1.023117661
0.083059587,0.050777373,-2.638237484,0.083393134,-1.579945096,0.074703144,-145.7107764,1.124016199
0.08306235,0.056129036,-2.054498076,0.077726653,-3.334460817,0.071540314,-20.19294439,0.620178509
0.083062816,0.028913088,-1.800634337,0.059600242,-3.04966925,0.05206186,-46.97413776,0.947765035
0.083063869,0.017984723,-3.852095503,0.026952975,-6.525959968,0.031132065,-44.85259907,2.347336521
0.083064482,0.02377831,-3.572379096,0.031254565,-4.580922183,0.03898259,-35.33560631,1.182504792
0.08306542,0.052575824,-2.595463879,0.081845069,-6.309806479,0.089005464,-41.59088846,3.769951598
0.083066794,0.045037871,-1.720605398,0.074602384,-4.800904272,0.066388003,-9.805535765,0.259499247
0.083071237,0.064605588,-3.502610566,0.10326325,-5.228475553,0.105111998,-70.25820076,0.736332435
0.083081966,0.034146098,-2.338549747,0.056482296,-5.233027232,0.060744225,-4.087500041,0.765869165
0.083083289,0.03493785,-3.263070596,0.048217266,-7.121467243,0.053111136,25.45948119,2.713354095
0.08308331,0.024384306,-3.133265997,0.036787089,-5.69591179,0.046803191,-59.33012006,1.620948687
0.083083779,0.021266639,-3.336083101,0.03656741,-2.615034475,0.035056138,-66.76178352,0.849008532
0.083084343,0.03375641,-1.17363993,0.052206055,0.471778717,0.048363866,-98.89183779,1.47436089
0.083085047,0.024386671,-1.572940194,0.033878439,-4.194259924,0.03940373,-60.72322016,0.858248991
0.083086227,0.04762038,-2.474306096,0.057612854,-6.013698864,0.068376308,10.6926026,1.261593637
0.083086332,0.030567061,-2.957430102,0.046326507,-3.773771496,0.047718956,-60.78227677,0.705808195
0.083091344,0.050348309,-3.339626134,0.071717409,-3.10618629,0.079468345,9.781100011,0.357159799
0.083094206,0.01993734,-2.979711307,0.031590049,-2.217263348,0.026813771,-122.9969189,1.573042961
0.083095195,0.030449221,-2.486779358,0.050222039,-3.2258631,0.064998131,-43.26962729,7.951573673
0.083096189,0.038113074,-1.911541942,0.066591801,-2.201292748,0.057545457,-66.59605904,1.749585473
0.083100091,0.086932989,-2.121256149,0.144394668,-2.663401355,0.139656798,-94.88826513,1.551442908
0.083100874,0.043206995,-1.68002891,0.07685656,-2.245074314,0.074689461,-88.10530232,1.920173956
0.083101026,0.019100365,-2.414297023,0.026246397,-3.716283193,0.02979093,-112.0409233,0.627030743
0.083102617,0.037888374,-4.521409844,0.053415361,-5.068043305,0.034517732,-28.23072477,0.646185043
0.08310597,0.048721889,-2.42035179,0.073273496,-3.847781268,0.072323243,7.749907813,17.71075157
0.083106598,0.087262232,-3.153994935,0.134671029,-4.362249215,0.128764303,-45.93773991,0.482368137
0.083115947,0.021676858,-2.030881054,0.031669515,-5.880861371,0.030378288,-48.50758678,1.343796061
0.083116178,0.017794319,-5.197669112,0.0284596,-10.53542819,0.031150491,-60.88651445,2.427292315
0.083116249,0.045637323,-2.143739058,0.072041798,-4.15963678,0.070998017,-16.96442625,0.834866755
0.083117985,0.033393868,-1.711856189,0.056957408,-5.178338851,0.054878235,-13.35748522,1.230033439
