radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper
27.62129326,1.633268063,10,5500,3.5,-1.5,NOT_AVAILABLE,131.0969365,52.45340051,141.6896447,55.97742119,100001,6390,6341,6748.143,,,,,,,200111,1.858408,1.6663806,1.8872405,5.1877646,4.981471,5.394058
-21.01535776,0.624291256,12,6250,4.5,0,NOT_AVAILABLE,131.1029531,52.38256813,141.5746816,56.00735948,100001,5960,5889.25,6099.5273,0.29,0.1779,0.4141,0.1485,0.1025,0.2061,200111,1.3449976,1.2841675,1.3775078,2.056472,2.0267155,2.0862286
-32.05303038,2.692931207,8,5500,4.5,0,NOT_AVAILABLE,130.4517197,52.66734733,142.3624325,56.21993094,100001,4900.98,4742.31,4981.7773,0.0107,0.004,0.146,0.0053,0.0013,0.0607,200111,0.6601121,0.6388736,0.7050236,0.22649665,0.22495568,0.22803763
-16.01614826,0.625025521,10,6500,4.5,0,NOT_AVAILABLE,130.4528423,52.58961579,142.2395063,56.25702222,100001,6246,6203,6447.9004,0.7433,0.4009,0.9611,0.372,0.2427,0.5224,200111,1.5584353,1.462366,1.5801167,3.3302755,3.2887125,3.3718386
-8.73450618,0.64794216,12,5750,4.5,0,NOT_AVAILABLE,130.4586842,52.2389542,141.6815671,56.42237973,100001,5770.6665,5699,5902.4,,,,,,,200111,2.1082513,2.015195,2.1616085,4.4406176,4.359225,4.5220103
-39.3790874,1.331675418,10,5000,3,-1.5,NOT_AVAILABLE,130.6119759,52.17872754,141.5052103,56.36830537,100001,6142,5951.6,6325.75,0.2905,0.0595,0.5526,0.145,0.0626,0.269,200111,1.3583248,1.2805578,1.4466243,2.3655992,2.3285513,2.402647
-20.21667084,0.584337958,10,5500,4.5,0,NOT_AVAILABLE,130.8547566,52.38029383,141.6986583,56.14215437,100001,5327.033,5215.625,5544,0.324,0.203,0.4913,0.1725,0.0919,0.249,200111,1.0413074,0.96139824,1.0862682,0.786673,0.7798714,0.7934746
14.6040348,1.325970668,13,5750,4.5,0,NOT_AVAILABLE,130.8323883,51.96413222,141.048415,56.34914541,100001,5771,5733,5896.0664,0.12,0.017,0.306,0.0727,0.0079,0.1713,200111,1.054218,1.0099686,1.0682398,1.1106058,1.0959173,1.1252943
-58.36387413,0.818814918,10,6000,3.5,0,NOT_AVAILABLE,131.3883823,52.43533016,141.5133661,55.82869712,100001,5976,5884,6389.8003,0.9373,0.7002,1.1031,0.463,0.3446,0.5734,200111,1.6705334,1.4611735,1.7231815,3.2066193,3.1205952,3.2926433
-44.23100756,0.673317286,11,5000,3,0,NOT_AVAILABLE,131.5243224,52.2754382,141.1926015,55.82862682,100001,4919,4750,5027.5747,,,,,,,200111,4.9374695,4.726515,5.2950597,12.859108,12.393333,13.324883
-31.71075412,0.156473418,15,4500,4.5,0,NOT_AVAILABLE,131.3175781,52.25997995,141.2717572,55.94810974,100001,4934,4816.3,5060.575,0.341,0.1534,1.6285,0.166,0.074,1.0018,200111,8.081113,7.6819186,8.48091,34.868534,34.366787,35.37028
-11.17283126,0.475573793,7,5000,3,0,NOT_AVAILABLE,131.3313215,52.10833311,141.0241,56.01030448,100001,5206.57,4991.88,6854,,,,,,,200111,3.2409933,1.8702227,3.5257642,6.954369,6.750315,7.158423
-11.04662029,5.5108387,8,6000,4.5,0,NOT_AVAILABLE,131.796491,52.12035289,140.8122031,55.75027393,100001,6050.6665,5608,6332,0.157,0.0089,0.3168,0.0767,0.0049,0.1536,200111,1.184402,1.081493,1.3787627,1.6939703,1.672758,1.7151827
-79.37101145,2.612038614,10,5750,4.5,0,NOT_AVAILABLE,131.8774881,52.0973785,140.7361168,55.71611047,100001,5864.6,5748.5527,6232.6665,,,,,,,200111,2.090214,1.8506309,2.1754572,4.656181,4.45426,4.858102
-24.36381814,2.242391306,11,6000,3.5,0,NOT_AVAILABLE,131.5791198,51.94488019,140.6400985,55.94861689,100001,6427,6376,6613.25,0.132,0.0487,0.176,0.0727,0.0373,0.0926,0,,,,,,
